"Section","Number","Name","Type","Subtype","Text"
"Screening questions",1,,"Number","","What is your age?"
"Screening questions",2,,"Multiple choice","single-select","What gender do you most identify with?"
"Screening questions",3,,"Multiple choice","single-select","What was your 2025 annual household income before taxes?"
"Screening questions",4,"Q_zip","Open-ended","","What is your zip code?"
"Screening questions",5,,"Multiple choice","single-select","Which of the following ethnicities do you most identify with?"
"Screening questions",6,,"Multiple choice","multi-select","Which, if any, of the following products have you purchased in the last 12 months?"
"Qualification & Brand Awareness",7,,"Combination","text","When you think of <category> brands, which brands first come to mind?"
"Qualification & Brand Awareness",8,,"Multiple choice","multi-select","Which of the following <category> brands are you aware of? Please include any you may have already mentioned in the prior question."
"Qualification & Brand Awareness",9,,"Matrix","single-select","Which of the following statements best describes your purchase history of any products with the following brands?"
"Qualification & Brand Awareness",10,,"Open-ended","","Did you find it easy to find a <explored_target_brand> product you were interested in?"
"Qualification & Brand Awareness",11,,"Open-ended","","How did you first hear about <aware_target_brand>?"
"Qualification & Brand Awareness",12,,"Open-ended","","Why did you not purchase <considered_only_target_brand>?"
"Qualification & Brand Awareness",13,"Q_dm","Matrix","single-select","Of the <category> items you have purchased in the last 12 months, which best describes your involvement in the decision-making regarding the purchase?"
"Category Engagement and Shopping Behavior",14,,"Multiple choice","single-select","How much did you spend on <category> in the past 12 months?"
"Category Engagement and Shopping Behavior",15,,"Multiple choice","multi-select","Who are you usually purchasing <category> for?"
"Category Engagement and Shopping Behavior",16,,"Multiple choice","multi-select","What type of <category> items have you purchased in the last 12 months?"
"Category Engagement and Shopping Behavior",17,,"Matrix","single-select","How often do you purchase the following <category> items?"
"Category Engagement and Shopping Behavior",18,,"Matrix","single-select","Do you prefer to purchase your <category> items in packs?"
"Category Engagement and Shopping Behavior",19,,"Multiple choice","multi-select","What factors are most important to you when purchasing <category>?"
"Category Engagement and Shopping Behavior",20,,"Multiple choice","multi-select","Where do you typically shop for your <category>?"
"Category Engagement and Shopping Behavior",21,"Q_preferred_channel_rank","Rank","","Of the shopping channels you selected, please rank your top 3 in order of how frequently you use them (1 = most frequent)."
"Category Engagement and Shopping Behavior",22,,"Multiple choice","multi-select","Why do you prefer to shop online for <category>?"
"Category Engagement and Shopping Behavior",23,,"Multiple choice","multi-select","Why do you prefer to shop in-store for <category>?"
"Category Engagement and Shopping Behavior",24,,"Multiple choice","single-select","How much would you expect to spend on <category> in one shopping trip?"
"Category Engagement and Shopping Behavior",25,,"Multiple choice","multi-select","What type of promotions are the most appealing to you when considering <category> purchase?"
"Category Engagement and Shopping Behavior",26,,"Combination","text","Who are your preferred retailers when shopping for <category>?"
"Category Engagement and Shopping Behavior",27,,"Open-ended","","When shopping for <category>, how do you select the specific item you purchase from the selection available (online or in store)?"
"Category Engagement and Shopping Behavior",28,,"Multiple choice","single-select","If your preferred <category> item is unavailable to purchase do you:"
"NPS and Brand Associations",29,"Q_nps","Multiple choice","single-select","How likely are you to recommend <brand> to your colleagues, friends, or family on a scale of 0–10?"
"NPS and Brand Associations",30,,"Open-ended","","Why did you rate <brand> as <[score]>/10?"
"NPS and Brand Associations",31,,"Multiple choice","multi-select","Please select reasons why you are likely to recommend <brand>."
"NPS and Brand Associations",32,,"Multiple choice","multi-select","Please select reasons why you are unlikely to recommend <brand>."
"NPS and Brand Associations",33,,"Multiple choice","multi-select","Which of the following attributes do you associate with <brand>?"
"NPS and Brand Associations",34,,"Multiple choice","single-select","When was the last time you purchased <brand>?"
"NPS and Brand Associations",35,,"Multiple choice","single-select","In the last 12 months, how many times have you purchased <brand>?"
"NPS and Brand Associations",36,,"Multiple choice","single-select","What was the main reason you purchased <brand>?"
"NPS and Brand Associations",37,,"Multiple choice","single-select","When you purchase <brand>, which of the following applies to you?"
"NPS and Brand Associations",38,,"Multiple choice","multi-select","Who are you usually purchasing <brand> for?"
"NPS and Brand Associations",39,,"Open-ended","","Why do you purchase <brand> for that person and not yourself?"
"NPS and Brand Associations",40,,"Multiple choice","single-select","How do you compare <brand>'s product offering to competing brands?"
"NPS and Brand Associations",41,,"Open-ended","","Why do you consider <brand>'s product offering as <Q38 comparison> to other brands?"
"NPS and Brand Associations",42,,"Multiple choice","single-select","How do you compare <brand>'s quality to competing brands?"
"NPS and Brand Associations",43,,"Open-ended","","Why do you consider <brand>'s quality as <Q40 comparison> to other brands?"
"Discovery and Channels",44,,"Multiple choice","multi-select","How do you usually discover <category> brands?"
"Discovery and Channels",45,,"Multiple choice","single-select","Which of the discovery channels is most important for your final buying decision when purchasing <category>?"
"Discovery and Channels",46,,"Multiple choice","multi-select","What type of brand content do you usually engage with most?"
"Discovery and Channels",47,,"Multiple choice","multi-select","Which social media platforms do you use?"
"Additional Demographics",48,,"Multiple choice","single-select","What is the highest level of education you have completed?"
"Additional Demographics",49,,"Multiple choice","single-select","What is your marital status?"
